No.	NAME	MW	AMW	nBM	RBN	nDB	nN	nF	O%	D/Dtr03	D/Dtr05	D/Dtr10	BLI	MAXDP	Psi_i_A	Psi_e_1d	Vindex	Yindex	CIC3	CIC5	VE3sign_Dz(i)	VE3sign_B(i)	ATSC2m	ATSC1p	MATS6m	GATS3v	GATS4v	GATS5e	GATS7e	GATS8e	GATS1p	GATS3s	GATS4s	P_VSA_LogP_1	P_VSA_LogP_2	P_VSA_LogP_8	P_VSA_MR_3	P_VSA_MR_5	P_VSA_MR_7	P_VSA_s_1	P_VSA_s_3	P_VSA_ppp_N	SpMAD_EA(dm)	SM13_AEA(bo)	SM15_AEA(dm)	SM06_AEA(ri)	SM09_AEA(ri)	Eig02_EA(dm)	Eig03_EA(dm)	Eig04_EA(dm)	Eig09_AEA(dm)	Eig10_AEA(dm)	nCp	nCrs	nCconj	C-005	C-026	H-046	H-047	H-051	H-052	O-059	SdCH2	StN	CATS2D_04_DD	CATS2D_02_DA	CATS2D_02_DL	CATS2D_06_DL	CATS2D_02_AL	CATS2D_03_AL	CATS2D_06_LL	T(N..Cl)	T(O..F)	T(F..Cl)	F03[C-O]	F03[C-Cl]	F03[O-Cl]	F05[C-Cl]	MLOGP2
31	c1ccc(cc1)CCl	126.590	8.439	6	0	0	0	0	0.0	0.000	0.000	0.000	1.150	1.416	2.160	0.084	0.573	1.782	0.850	0.667	-0.512	-0.839	6.748	1.324	-0.375	1.076	1.023	1.823	0.000	0.000	0.788	0.617	1.134	0.000	2.850	0.000	0.000	2.850	39.149	0.000	6.035	0.000	0.257	-0.757	-2.347	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	0	0	0	7	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	2	0	1	8.653
32	CC(C)(c1ccc(cc1)O)c2ccc(cc2)O	228.310	6.918	12	2	0	0	0	6.1	0.000	0.000	0.000	0.932	3.296	2.348	na	0.338	0.996	1.743	1.743	na	-1.207	11.694	3.375	0.231	1.194	1.191	0.237	2.971	1.913	0.917	0.889	0.691	17.650	0.000	0.000	0.000	17.650	0.000	0.000	6.371	0.000	0.076	1.310	2.275	-3.000	-3.066	0.000	0.000	0.000	0.058	-0.865	2	0	0	0	2	6	8	0	0	0	0.000	0.000	0	0	4	6	4	4	4	0	0	0	4	0	0	0	10.928
33	B(F)(F)F	67.810	16.953	0	0	0	0	3	0.0	0.000	0.000	0.000	0.655	1.667	6.333	-1.062	1.592	0.000	0.000	0.000	na	-0.202	0.087	1.108	0.000	na	na	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.298
34	CCCBr	123.000	11.182	0	0	0	0	0	0.0	0.000	0.000	0.000	2.596	0.498	1.937	-0.999	1.089	3.132	1.110	0.000	-0.825	-0.825	14.204	1.231	0.000	0.788	1.014	0.000	0.000	0.000	0.789	0.798	1.554	8.825	4.939	45.954	0.000	13.764	0.000	0.000	4.939	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	0	3	2	0	2	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.106
35	CCCC	58.140	4.153	0	1	0	0	0	0.0	0.000	0.000	0.000	1.914	0.181	1.750	-0.995	1.089	3.132	1.965	3.283	na	na	3.801	1.370	0.000	0.843	0.758	0.000	0.000	0.000	1.750	0.713	1.167	17.650	5.069	0.000	0.000	22.719	0.000	0.000	5.069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	0	10	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.447
36	CS(=O)(=O)OCCCCOS(=O)(=O)C	246.340	8.798	4	7	4	0	0	21.4	0.000	0.000	0.000	1.737	3.474	3.345	na	0.576	1.463	1.768	1.768	na	na	20.001	3.633	-0.072	0.916	1.192	0.962	0.818	1.013	1.945	1.227	1.045	14.381	14.254	0.000	17.091	14.254	15.500	15.500	14.254	0.000	1.023	0.313	-1.206	-3.013	0.000	3.324	0.000	0.000	-0.152	-0.792	0	0	0	2	0	0	10	0	4	2	0.000	0.000	0	0	0	0	2	2	0	0	0	0	6	0	0	0	0.250
37	CCCCOC(=O)C	116.180	5.809	1	4	1	0	0	10.0	0.000	0.000	0.000	1.245	3.096	2.583	-0.147	0.680	1.812	0.775	0.992	-0.629	-0.362	8.250	1.867	-0.149	0.864	1.056	1.207	1.159	0.000	1.755	1.194	1.046	17.650	9.661	0.000	0.000	27.312	0.000	0.000	16.853	0.000	0.780	-1.000	-2.489	0.000	0.000	0.286	0.000	0.000	0.000	0.000	2	0	0	0	0	5	2	3	2	0	0.000	0.000	0	0	0	0	3	1	1	0	0	0	2	0	0	0	1.886
38	CCCCOC(=O)C=C	128.190	6.104	2	5	2	0	0	9.5	0.000	0.000	0.000	1.163	3.346	2.630	0.084	0.667	1.787	0.607	0.607	-0.633	-0.781	8.366	2.033	-0.157	0.834	0.890	1.329	1.031	0.055	1.580	0.710	1.623	8.825	25.428	0.000	0.000	18.487	9.476	0.000	16.853	0.000	0.419	-0.420	-2.417	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	3	0	0	5	5	0	2	0	3.265	0.000	0	0	0	0	3	3	2	0	0	0	4	0	0	0	2.621
39	C(Cl)(Cl)(Cl)Cl	153.810	30.762	0	0	0	0	0	0.0	0.000	0.000	0.000	1.701	0.715	3.539	0.664	1.553	0.000	0.000	0.000	na	-0.087	0.914	0.036	0.000	0.000	0.000	0.000	0.000	0.000	2.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.245	0.000	0.000	0.000	0.000	-0.830	-0.830	-0.830	0.000	0.000	1	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.957
40	C(C(=O)O)Cl	94.500	11.813	1	0	1	0	0	25.0	0.000	0.000	0.000	1.187	2.236	4.056	0.677	1.106	3.916	0.625	0.000	-0.424	-0.259	4.559	0.699	0.000	0.902	0.893	0.000	0.000	0.000	0.805	1.764	0.268	0.000	2.850	0.000	0.000	2.850	39.149	0.000	3.759	0.910	1.454	0.000	0.000	0.000	0.000	0.434	-1.181	-1.727	0.000	0.000	1	0	0	0	0	0	2	0	0	0	0.000	0.000	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0.018
