No.	NAME	MW	AMW	nBM	RBN	nDB	nN	nF	O%	D/Dtr03	D/Dtr05	D/Dtr10	BLI	MAXDP	Psi_i_A	Psi_e_1d	Vindex	Yindex	CIC3	CIC5	VE3sign_Dz(i)	VE3sign_B(i)	ATSC2m	ATSC1p	MATS6m	GATS3v	GATS4v	GATS5e	GATS7e	GATS8e	GATS1p	GATS3s	GATS4s	P_VSA_LogP_1	P_VSA_LogP_2	P_VSA_LogP_8	P_VSA_MR_3	P_VSA_MR_5	P_VSA_MR_7	P_VSA_s_1	P_VSA_s_3	P_VSA_ppp_N	SpMAD_EA(dm)	SM13_AEA(bo)	SM15_AEA(dm)	SM06_AEA(ri)	SM09_AEA(ri)	Eig02_EA(dm)	Eig03_EA(dm)	Eig04_EA(dm)	Eig09_AEA(dm)	Eig10_AEA(dm)	nCp	nCrs	nCconj	C-005	C-026	H-046	H-047	H-051	H-052	O-059	SdCH2	StN	CATS2D_04_DD	CATS2D_02_DA	CATS2D_02_DL	CATS2D_06_DL	CATS2D_02_AL	CATS2D_03_AL	CATS2D_06_LL	T(N..Cl)	T(O..F)	T(F..Cl)	F03[C-O]	F03[C-Cl]	F03[O-Cl]	F05[C-Cl]	MLOGP2
139	CCCN	59.130	4.548	0	1	0	1	0	0.0	0.000	0.000	0.000	1.615	1.028	2.250	-1.004	1.089	3.132	0.827	2.797	-0.548	-0.535	3.874	1.001	0.000	0.830	0.556	0.000	0.000	0.000	1.692	0.736	1.352	8.825	37.537	0.000	0.000	46.363	0.000	0.000	4.640	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	0	3	2	0	2	0	0.000	0.000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.120
140	CC=C	42.090	4.677	1	0	1	0	0	0.0	0.000	0.000	0.000	1.478	0.361	2.333	1.367	2.042	0.000	1.103	0.000	-0.255	-0.166	2.051	0.852	0.000	1.000	0.000	0.000	0.000	0.000	1.500	1.326	0.000	8.825	15.767	0.000	0.000	8.825	9.476	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	0	0	3	3	0	0	0	3.361	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.486
141	C[C@H](CO)O	76.110	5.855	0	1	0	0	0	15.4	0.000	0.000	0.000	1.170	2.111	3.367	0.667	1.106	3.916	0.520	2.643	-0.683	-0.267	5.095	0.963	0.000	1.094	0.403	0.000	0.000	0.000	1.706	1.048	1.035	8.825	0.000	0.000	85.367	8.825	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	0	0	3	0	3	0	0.000	0.000	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0.285
142	CC1CO1	58.090	5.809	0	0	0	0	0	10.0	5.333	0.000	0.000	1.132	1.208	2.083	0.672	1.543	0.000	0.675	2.336	-0.360	-0.182	3.805	0.959	0.000	1.024	0.000	0.000	0.000	0.000	1.665	1.298	0.000	8.825	4.592	0.000	11.000	13.418	0.000	0.000	4.592	0.000	0.430	0.000	0.000	0.000	0.000	0.000	0.000	-0.860	0.000	0.000	1	1	0	0	0	0	3	0	3	1	0.000	0.000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.002
143	c1c[nH]nc1	68.090	7.566	5	0	0	2	0	0.0	0.000	9.167	0.000	0.862	0.597	2.300	-0.429	0.920	3.125	-0.000	-0.000	na	-0.812	2.820	0.554	0.000	1.168	0.000	0.000	0.000	0.000	1.007	1.317	0.000	0.000	0.000	0.000	0.000	25.710	16.663	0.000	0.000	0.000	0.000	-1.618	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	1	0	0	0	0.000	0.000	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0.134
144	C[O][Na]	54.031	9.005	0	0	0	0	0	16.7	0.000	0.000	0.000	2.449	0.889	2.315	1.407	2.042	0.000	1.654	0.000	-0.827	-0.109	2.784	38.904	0.000	3.288	0.000	0.000	0.000	0.000	0.610	0.102	0.000	10.883	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	1	0	0	3	0	0	1	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.663
145	C=Cc1ccccc1	104.160	6.510	7	1	1	0	0	0.0	0.000	0.000	0.000	0.978	0.631	2.083	0.084	0.573	1.782	0.797	0.625	-0.685	-0.969	5.033	1.534	0.250	1.034	1.172	0.882	0.000	0.000	0.937	0.715	1.220	0.000	15.767	0.000	0.000	0.000	9.476	0.000	3.186	0.000	0.000	-0.757	-2.347	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	2	0	0	0	8	0	0	0	3.631	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.130
146	CC(C)(C)N	73.160	4.573	0	0	0	1	0	0.0	0.000	0.000	0.000	1.342	1.354	2.250	0.655	1.553	0.000	2.455	0.000	na	-0.081	5.511	1.352	0.000	2.066	0.000	0.000	0.000	0.000	1.641	2.480	0.000	26.476	32.897	0.000	0.000	59.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3	0	0	0	0	0	0	0	9	0	0.000	0.000	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0.640
147	C(=C(Cl)Cl)(Cl)Cl	165.820	27.637	1	0	1	0	0	0.0	0.000	0.000	0.000	1.511	0.883	3.296	-0.420	1.088	3.971	2.195	0.000	na	na	4.232	0.076	0.000	0.000	0.000	0.000	0.000	0.000	1.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.631	0.000	0.960	-1.562	0.000	0.000	0.000	1.200	0.000	-1.200	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.047
148	CCO[Si](OCC)(OCC)OCC	208.370	6.314	0	8	0	0	0	12.1	0.000	0.000	0.000	1.608	1.923	2.207	na	0.846	2.695	2.758	2.911	na	-0.716	19.031	4.269	-0.207	1.428	2.151	2.214	0.033	0.000	2.153	1.539	2.332	35.301	18.370	0.000	0.000	53.670	0.000	0.000	18.370	0.000	0.000	0.798	-0.656	-5.544	0.000	0.000	0.000	0.000	-0.747	-1.561	4	0	0	0	0	0	8	0	12	4	0.000	0.000	0	0	0	0	4	0	6	0	0	0	12	0	0	0	0.063
149	C(C(F)(F)F)F	102.040	12.755	0	0	0	0	4	0.0	0.000	0.000	0.000	0.713	2.410	5.792	-0.401	1.203	5.184	1.594	0.000	-0.489	-0.208	3.035	0.737	0.000	0.631	0.000	0.000	0.000	0.000	1.988	1.229	0.000	0.000	8.470	7.760	0.000	16.229	0.000	0.000	8.470	0.000	1.208	-1.514	0.000	0.000	0.000	0.000	0.000	-1.510	0.000	0.000	2	0	0	0	0	0	2	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.301
150	C1CCOC1	72.120	5.548	0	0	0	0	0	7.7	0.000	9.167	0.000	1.246	1.444	1.900	-0.420	0.920	3.125	1.538	1.538	-0.671	na	6.131	1.305	0.000	1.056	0.000	0.000	0.000	0.000	1.627	1.054	0.000	0.000	14.254	0.000	11.000	14.254	0.000	0.000	14.254	0.000	0.344	-1.618	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	2	0	0	0	0	4	0	4	1	0.000	0.000	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0.166
151	Cc1ccccc1	92.150	6.143	6	0	0	0	0	0.0	0.000	0.000	0.000	1.033	0.083	1.952	-0.147	0.643	2.022	1.034	0.850	-0.639	-0.553	5.171	1.527	0.875	1.250	1.016	0.625	0.000	0.000	1.000	1.266	1.043	8.825	0.000	0.000	0.000	8.825	0.000	0.000	3.186	0.000	0.000	-1.000	-3.206	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	0	0	3	5	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.802
152	C(=O)(C(Cl)(Cl)Cl)O	163.380	20.422	1	0	1	0	0	25.0	0.000	0.000	0.000	1.189	2.625	4.036	0.244	1.159	4.656	0.969	0.000	-1.188	-0.539	9.110	0.464	0.000	1.170	4.019	0.000	0.000	0.000	0.376	0.921	0.993	0.000	0.000	0.000	0.000	0.000	117.446	0.000	0.910	0.910	1.477	-1.000	-6.155	0.000	0.000	1.555	-0.830	-0.830	0.000	0.000	1	0	0	0	0	0	0	0	0	0	0.000	0.000	0	1	0	0	0	6	0	0	0	0	0	0	6	0	0.991
153	B(Cl)(Cl)Cl	117.160	29.290	0	0	0	0	0	0.0	0.000	0.000	0.000	1.964	0.694	3.417	-1.017	1.592	0.000	0.000	0.000	na	-0.154	0.789	0.131	0.000	na	na	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.860
154	C(=C(Cl)Cl)Cl	131.380	21.897	1	0	1	0	0	0.0	0.000	0.000	0.000	1.558	0.846	3.200	0.680	1.106	3.916	1.195	0.000	-0.772	-0.301	7.455	0.021	0.000	1.610	0.000	0.000	0.000	0.000	0.501	1.173	0.000	0.000	9.791	39.149	0.000	0.000	39.149	0.000	3.816	0.000	0.600	0.000	0.000	0.000	0.000	0.000	0.000	-1.200	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.332
155	C(Cl)(Cl)Cl	119.370	23.874	0	0	0	0	0	0.0	0.000	0.000	0.000	1.964	0.694	3.417	-1.017	1.592	0.000	0.000	0.000	na	-0.128	8.292	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.502	0.000	0.000	0.000	0.000	0.000	0.000	0.000	117.446	0.000	0.000	0.000	1.107	0.000	0.000	0.000	0.000	-0.830	-0.830	0.000	0.000	0.000	1	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.301
156	C(C(CCl)Cl)Cl	147.430	13.403	0	0	0	0	0	0.0	0.000	0.000	0.000	1.845	1.275	2.778	-0.415	0.955	3.135	1.405	0.000	na	-0.540	13.184	0.825	0.000	1.041	0.906	0.000	0.000	0.000	0.664	1.046	1.114	0.000	5.699	0.000	0.000	5.699	117.446	0.000	5.699	0.000	0.000	-1.618	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	0	0	5	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6.781
157	CCN(CC)CC	101.220	4.601	0	3	0	1	0	0.0	0.000	0.000	0.000	1.535	0.375	1.786	0.250	0.899	2.933	2.434	3.029	na	-1.399	7.837	1.850	0.464	0.846	1.581	0.222	0.000	0.000	1.873	0.933	1.141	26.476	6.317	0.000	0.000	35.917	0.000	0.000	6.317	0.000	0.267	-1.618	-3.791	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3	0	0	0	0	0	6	0	9	0	0.000	0.000	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2.519
158	C(=O)(C(F)(F)F)O	114.030	14.254	1	0	1	0	3	25.0	0.000	0.000	0.000	0.622	2.579	5.702	0.236	1.159	4.656	0.969	0.000	-0.824	-0.833	0.971	0.602	0.000	0.893	1.355	0.000	0.000	0.000	1.635	0.306	2.347	0.000	0.000	7.760	0.000	7.760	0.000	0.000	0.910	0.910	1.963	-1.000	-6.155	0.000	0.000	1.892	-1.129	-1.510	0.000	0.000	1	0	0	0	0	0	0	0	0	0	0.000	0.000	0	1	0	0	0	0	0	0	18	0	0	0	0	0	0.134
159	C(F)(F)F	70.020	14.004	0	0	0	0	3	0.0	0.000	0.000	0.000	0.655	1.667	6.333	-1.062	1.592	0.000	0.000	0.000	na	-0.169	1.869	0.284	0.000	0.000	0.000	0.000	0.000	0.000	2.484	0.000	0.000	0.000	0.000	14.050	0.000	14.050	0.000	0.000	0.000	0.000	2.013	0.000	0.000	0.000	0.000	-1.510	-1.510	0.000	0.000	0.000	1	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.243
160	c1c(cc(cc1C(=O)Cl)C(=O)Cl)C(=O)Cl	265.470	14.748	9	3	3	0	0	16.7	0.000	0.000	0.000	0.959	3.852	3.289	na	0.498	1.540	1.585	1.585	na	-1.935	3.978	0.793	0.281	1.241	1.210	1.627	0.000	0.000	0.586	0.620	1.475	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25.902	0.000	0.774	1.000	2.461	-2.000	-6.000	1.935	1.935	0.000	0.900	-0.524	0	0	3	0	0	0	3	0	0	0	0.000	0.000	0	0	0	0	6	6	3	0	0	0	6	6	0	9	3.789
161	B(OC)(OC)OC	103.930	6.496	0	3	0	0	0	18.8	0.000	0.000	0.000	0.966	1.104	2.548	0.260	0.899	2.933	2.377	3.080	na	-0.674	7.504	1.424	0.739	na	na	0.068	0.000	0.000	2.051	0.499	2.766	32.649	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.618	-3.791	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	3	0	0	9	0	0	3	0.000	0.000	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1.876
162	CN(C)C	59.130	4.548	0	0	0	1	0	0.0	0.000	0.000	0.000	1.342	0.000	2.000	-1.016	1.592	0.000	2.845	0.000	na	-0.092	4.028	0.779	0.000	2.486	0.000	0.000	0.000	0.000	2.225	2.167	0.000	25.189	0.000	0.000	0.000	3.124	0.000	0.000	0.000	0.000	0.533	0.000	0.000	0.000	0.000	-0.400	-0.400	0.000	0.000	0.000	0	0	0	3	0	0	9	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120
163	CC(=O)OC=C	86.100	7.175	2	2	2	0	0	16.7	0.000	0.000	0.000	0.931	2.750	3.194	-0.429	0.882	2.636	0.563	1.459	-0.999	-0.249	4.260	1.021	0.956	0.659	1.611	0.762	0.000	0.000	1.645	1.910	1.033	8.825	27.301	0.000	0.000	8.825	0.000	0.000	7.191	0.000	1.092	-1.675	0.000	0.000	0.000	0.286	0.000	-0.998	0.000	0.000	1	0	0	0	0	0	2	3	0	0	3.158	0.000	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0.229
164	C=CCl	62.500	10.417	1	0	1	0	0	0.0	0.000	0.000	0.000	1.594	0.651	3.037	1.392	2.042	0.000	1.195	0.000	-0.249	-0.174	2.834	0.493	0.000	0.964	0.000	0.000	0.000	0.000	0.784	1.431	0.000	0.000	25.558	39.149	0.000	0.000	39.149	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	2	0	0	0	3.127	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.486
165	C=CF	46.050	7.675	1	0	1	0	1	0.0	0.000	0.000	0.000	0.940	2.056	4.333	1.424	2.042	0.000	1.195	0.000	-0.258	-0.194	1.773	0.538	0.000	0.279	0.000	0.000	0.000	0.000	1.495	1.641	0.000	0.000	31.179	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	2	0	0	0	2.694	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.940
166	Cc1ccccc1C	106.180	5.899	6	0	0	0	0	0.0	0.000	0.000	0.000	1.060	0.120	1.917	0.084	0.633	2.091	1.528	1.528	-0.678	na	6.483	1.894	0.800	1.275	1.381	0.510	0.000	0.000	1.062	1.100	1.506	17.650	0.000	0.000	0.000	17.650	0.000	0.000	6.371	0.000	0.000	-0.732	-3.451	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	0	6	4	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.653
