,MW,AMW,nTA,nBM,RBN,nF,N%,O%,D/Dtr05,D/Dtr09,D/Dtr10,MAXDP,X2v,Yindex,IC3,CIC5,ATSC2m,ATSC3m,ATSC1p,GATS6e,P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_3,P_VSA_LogP_8,P_VSA_MR_3,P_VSA_MR_5,P_VSA_MR_7,P_VSA_v_3,P_VSA_p_4,P_VSA_s_1,P_VSA_s_3,P_VSA_s_5,P_VSA_ppp_D,SpDiam_EA(dm),Chi1_EA(dm),SM13_AEA(dm),SM14_AEA(dm),SM15_AEA(dm),SM02_AEA(ri),SM03_AEA(ri),SM04_AEA(ri),SM05_AEA(ri),SM06_AEA(ri),SM10_AEA(ri),nCp,nCs,H-046,H-047,H-051,H-052,SaaN,SssO,CATS2D_02_AA,CATS2D_02_AL,CATS2D_03_AL,CATS2D_05_AL,CATS2D_04_LL,T(N..Cl),T(O..F),T(O..Cl),T(F..Cl),F01[C-N],F03[C-O],F03[C-Cl],MLOGP2
33,80.52,8.947,2,0,0,0,0.0,11.1,0.0,0.0,0.0,0.853,0.616,3.132,2.067,0.0,7.965,1.406,0.816,0.0,10.883,4.907,0.0,0.0,11.0,4.907,0.0,54.939,0.0,0.0,4.907,0.0,0.0,2.885,1.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,0,0.0,4.307,0,1,0,0,0,0,0,2,0,0,0,1,0.12
34,157.56,11.254,3,7,1,0,7.1,14.3,0.0,0.0,0.0,3.143,2.116,1.869,3.664,0.0,0.941,5.382,1.02,3.543,6.545,0.0,37.905,39.149,0.0,0.0,45.693,83.311,0.0,0.0,6.257,0.0,0.0,2.393,5.2,2.304,-0.52,-2.0,-2.016,-3.459,-5.184,-6.295,0.0,0.0,0,0,0,4,0,0,0.0,0.0,1,1,5,2,1,3,0,8,0,1,4,2,3.78
35,108.53,9.866,4,1,1,0,0.0,18.2,0.0,0.0,0.0,2.567,1.609,3.971,3.027,2.634,5.227,10.358,1.029,0.0,8.825,0.0,0.0,0.0,0.0,8.825,39.149,48.884,0.0,0.0,0.91,0.0,42.683,4.2,2.753,-2.0,-4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,3,0.0,0.0,1,0,4,0,0,0,0,6,0,0,2,0,0.344
36,120.21,5.724,2,6,1,0,0.0,0.0,0.0,0.0,0.0,0.204,2.565,1.764,3.046,1.215,7.841,9.347,2.254,0.741,17.65,0.0,47.381,0.0,0.0,17.65,0.0,68.217,0.0,0.0,3.186,0.0,0.0,0.0,2.941,2.136,-1.582,-2.0,-2.347,-4.789,-5.459,0.0,0.0,0.0,2,0,7,5,0,0,0.0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,10.62
37,85.07,9.452,3,2,1,0,11.1,22.2,0.0,0.0,0.0,2.377,0.729,2.636,2.948,2.465,1.898,2.912,0.634,0.0,0.0,2.535,0.0,0.0,0.0,33.594,0.0,20.046,0.0,0.0,3.444,16.602,42.683,5.354,1.71,-2.0,-3.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,2,0,0.0,0.0,1,3,0,0,0,0,0,0,0,1,2,0,0.656
38,61.47,20.49,2,1,0,0,33.3,0.0,0.0,0.0,0.0,1.085,0.254,0.0,0.0,0.0,0.672,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,31.059,39.149,56.065,0.0,0.0,0.0,16.917,0.0,4.74,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,2,0,0,0,1,0,0,0.101
39,184.41,20.49,3,6,0,0,33.3,0.0,0.0,0.0,0.0,1.208,2.157,1.903,1.585,1.585,6.402,6.42,0.129,0.0,0.0,0.0,0.0,0.0,0.0,7.929,50.357,125.375,0.0,0.0,7.929,0.0,0.0,0.0,3.846,-0.891,-0.891,-1.583,-4.072,-4.072,-6.0,0.0,0.0,0.0,0,0,0,0,0,0,10.376,0.0,3,6,0,0,3,24,0,0,0,6,0,6,5.614
40,84.18,4.677,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.121,2.056,0.918,3.252,7.27,7.829,2.046,0.0,0.0,15.207,0.0,0.0,0.0,15.207,0.0,15.207,0.0,0.0,15.207,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,12,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9.76
41,100.18,5.273,1,0,0,0,0.0,5.3,0.0,0.0,0.0,2.909,2.292,2.022,2.8,1.158,8.417,10.638,2.057,0.0,0.0,12.673,42.683,0.0,42.683,12.673,0.0,12.673,0.0,0.0,12.673,0.0,42.683,0.0,1.163,-0.838,-2.347,-3.206,-4.789,0.0,0.0,0.0,0.0,0.0,0,6,6,1,0,4,0.0,0.0,0,2,2,0,0,0,0,0,0,0,2,0,1.428
42,98.16,5.774,1,1,0,0,0.0,5.9,0.0,0.0,0.0,3.463,2.099,2.022,2.793,1.294,7.408,9.681,1.885,0.0,0.0,12.673,0.0,0.0,0.0,12.673,0.0,17.806,0.0,0.0,17.806,0.0,0.0,3.677,2.684,-0.838,-2.347,-3.206,-4.789,0.0,0.0,0.0,0.0,0.0,0,5,6,0,4,0,0.0,0.0,0,2,2,0,0,0,0,0,0,0,2,0,1.103
43,46.08,5.12,2,0,0,0,0.0,11.1,0.0,0.0,0.0,0.75,0.408,0.0,0.872,0.0,2.892,1.178,0.482,0.0,21.766,0.0,0.0,0.0,11.0,0.0,0.0,21.766,0.0,0.0,0.0,0.0,0.0,1.72,1.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6,0,0,0.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0.03
44,132.13,7.772,4,2,4,0,0.0,23.5,0.0,0.0,0.0,3.258,1.329,2.282,2.587,1.741,7.607,5.977,1.339,2.652,21.766,2.535,0.0,0.0,0.0,2.535,0.0,38.683,0.0,0.0,16.917,0.0,0.0,4.455,3.472,0.261,-1.252,-2.834,-3.144,-5.153,0.0,0.0,0.0,0.0,0,1,0,6,2,0,0.0,8.366,2,4,0,0,0,0,0,0,0,0,6,0,0.003
45,126.15,9.704,4,2,2,0,0.0,30.8,0.0,0.0,0.0,2.924,2.225,4.096,2.046,2.77,7.785,8.693,1.232,0.0,21.766,0.0,9.454,0.0,17.091,0.0,9.454,31.22,0.0,9.454,0.0,0.0,0.0,7.188,1.901,-3.0,-3.936,-4.828,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6,0,0,0.0,7.674,6,0,0,0,0,0,0,0,0,0,6,0,0.263
